url,business_function,sub_category,page_type,coverage,variant
https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do,예금자보호제도,,예금자보호제도 개요,,
https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do,예금자보호제도,,보호한도 (1억 상향 핵심 페이지),,
https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,예금자보호제도,,보호대상 금융회사 개요,,
https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do,예금자보호제도,,보호대상 금융상품 개요,,
https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do,예금자보호제도,,예금자보호제도 FAQ,,
https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtGudn/selectScrn.do,예금자보호제도,,표시·설명·확인 제도 안내,,
https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do,예금보험금 안내,,예금보험금이란?,,
https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do,예금보험금 안내,,신청 절차,,
https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,예금보험금 안내,,신청시 구비서류,,
https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do,고객 미수령금 신청,,고객미수령금 안내,,
https://www.kdic.or.kr/sp/dpstrprot/ProtSystHrpeHistInq/selectScrn.do,고객 미수령금 신청,,상속인 금융거래조회,,
https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do,고객 미수령금 신청,,통합신청 소개·방법,,
https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do,고객 미수령금 신청,,FAQ — 미수령금통합신청,,
https://www.kdic.or.kr/sp/kmrs/kmrsItrd/selectScrn.do,착오송금 반환 신청,,제도란,,
https://www.kdic.or.kr/sp/kmrs/kmrsItrdProc/selectScrn.do,착오송금 반환 신청,,절차,,
https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyTrgt/selectScrn.do,착오송금 반환 신청,,신청대상 (한도·기한·제외사유),,
https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyMthd/selectScrn.do,착오송금 반환 신청,,신청방법,,
https://fins.kdic.or.kr/ir/aplygudn/MtrsGvbkSprtProc/selectScrn.do,착오송금 반환 신청,,반환지원절차,,
https://fins.kdic.or.kr/ir/aplygudn/MtrsRelLawoRgul/selectScrn.do,착오송금 반환 신청,,관련법령 및 규정,,
https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,착오송금 반환 신청,,구비서류 — 착오송금인,,
https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,착오송금 반환 신청,,구비서류 — 착오송금수취인,,
https://fins.kdic.or.kr/ir/aplygudn/MtrsVstRcptGudn/selectScrn.do,착오송금 반환 신청,,방문접수안내,,
https://fins.kdic.or.kr/ir/msdrpr/MsdrprAttnMttr/selectScrn.do,착오송금 반환 신청,,착오송금인 유의사항,,
https://fins.kdic.or.kr/ir/addrse/AddrseAttnMttr/selectScrn.do,착오송금 반환 신청,,착오송금수취인 유의사항,,
https://fins.kdic.or.kr/cm/bbs/selectFaqMsdrGvbkAply.do,착오송금 반환 신청,,"FAQ — 착오송금 (2페이지, ~15건)",,
https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtLbltAjmtSyst/selectScrn.do,채무조정 안내,,채무조정제도,,
https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtLbltInfoInqDscsnAply/selectScrn.do,채무조정 안내,,채무정보 조회·상담신청,,
https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtCredRcvrySprt/selectScrn.do,채무조정 안내,,신용회복 지원,,
https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnRg/selectScrn.do,채무조정 안내,,개인회생,,
https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnBr/selectScrn.do,채무조정 안내,,파산면책,,
https://fins.kdic.or.kr/lb/lbltinfo/LbltInfoInqItrdMthdGudn/selectScrn.do,채무조정 안내,,채무정보조회 소개,,
https://fins.kdic.or.kr/cm/bbs/selectFaqLbltInfoInq.do,채무조정 안내,,FAQ — 채무정보조회,,
https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrGudn/selectScrn.do,은닉재산 신고,,신고센터 (포상금 최고 30억),,
https://www.kdic.or.kr/sp/sprtfund/SprtCncmDclrInqGudn/selectScrn.do,은닉재산 신고,,신고 및 조회,,
https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrFaq/selectScrn.do,은닉재산 신고,,은닉재산신고 FAQ,,
https://fins.kdic.or.kr/cm/bbs/selectFaqCncmPrptDclr.do,은닉재산 신고,,FAQ — 은닉재산신고,,
https://fins.kdic.or.kr/cm/bbs/selectFaqTop10.do,공통,,FAQ TOP10 — 테스트셋 v0 시드,,
